,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
0,sh000001,上证指数,3514.471,37.339,1.074,3477.1321,3482.2658,3522.6973,3481.1409,430236463,616084137942
1,sh000002,Ａ股指数,3683.4484,39.202,1.076,3644.2467,3649.6368,3692.0685,3648.4529,429877276,615728054741
2,sh000003,Ｂ股指数,264.3974,-0.177,-0.067,264.5745,264.5348,265.8193,263.767,334026,181661466
3,sh000004,工业指数,3325.4533,43.508,1.326,3281.9452,3289.5378,3335.6508,3285.9256,285405715,460079634499
4,sh000005,商业指数,2896.9008,16.641,0.578,2880.2594,2879.1019,2906.8476,2873.8959,23631919,26430192607
5,sh000006,地产指数,5615.0633,-2.7,-0.048,5617.7634,5616.6931,5673.9279,5589.599,4663823,3894868345
6,sh000007,公用指数,4118.9741,17.435,0.425,4101.5396,4102.8959,4134.937,4097.8582,38963847,23836134046
7,sh000008,综合指数,2806.8194,23.03,0.827,2783.7893,2784.8595,2814.1694,2780.9909,77571159,101843308444
8,sh000009,上证380,6487.2137,58.729,0.914,6428.4851,6427.5451,6493.7121,6414.6435,90526821,127569058321
9,sh000010,上证180,9919.1926,132.671,1.356,9786.5218,9803.7712,9952.0039,9800.3978,145597990,259558333809
10,sh000011,基金指数,7596.156,64.181,0.852,7531.9745,7535.937,7607.5592,7531.3967,254196622,76285780368
11,sh000012,国债指数,188.9681,0.004,0.002,188.9643,188.9815,188.9815,188.9356,723099,724585810
12,sh000013,企债指数,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13,sh000015,红利指数,2823.9406,22.167,0.791,2801.7733,2813.8695,2834.6903,2807.5201,22395565,18293366019
14,sh000016,上证50,3147.7685,47.882,1.545,3099.8867,3106.2302,3160.5576,3104.9717,38208245,119776461629
15,sh000017,新综指,2970.1377,31.61,1.076,2938.5275,2942.8738,2977.0885,2941.9192,396130162,555958594769
16,sh000018,180金融,5070.4495,45.344,0.902,5025.1058,5022.3206,5090.8197,4989.5683,43751241,59787737715
17,sh000019,治理指数,1108.1232,6.649,0.604,1101.4743,1103.186,1110.518,1100.7705,130549299,155034296417
18,sh000020,中型综指,1519.8917,14.762,0.981,1505.1298,1506.7688,1521.9891,1500.0083,42703487,86549112650
19,sh000021,180治理,1006.7762,5.367,0.536,1001.4094,1002.9125,1009.4675,999.3745,77135047,111827611324
20,sh000022,沪公司债,217.3468,0.051,0.023,217.2959,217.3202,217.3757,217.3191,600026,589486507
21,sh000025,180基建,1491.7766,5.519,0.371,1486.2571,1489.2236,1496.0369,1479.8581,17581978,10027628541
22,sh000026,180资源,3406.9365,100.917,3.053,3306.0196,3321.5139,3447.2615,3321.5139,19945512,35926544708
23,sh000027,180运输,789.0017,0.064,0.008,788.9376,790.378,797.741,784.3438,4166602,7662233778
24,sh000028,180成长,5123.5055,64.903,1.283,5058.6027,5073.5428,5148.1504,5069.4545,31239884,124002927105
25,sh000029,180价值,3841.6334,23.769,0.623,3817.8646,3822.9839,3854.4757,3802.4433,60171401,69725827354
26,sh000030,180R成长,3118.2526,51.828,1.69,3066.4247,3075.3658,3131.4527,3073.4121,99081285,215090147325
27,sh000031,180R价值,2883.0974,23.528,0.823,2859.5696,2861.0841,2890.4064,2856.2996,128012802,160813047574
28,sh000032,上证能源,1341.1878,20.309,1.538,1320.8784,1344.4769,1348.3631,1333.034,22444372,15067962600
29,sh000033,上证材料,3188.3483,62.541,2.001,3125.8075,3132.1041,3207.4082,3132.1041,69080247,78559128307
30,sh000034,上证工业,2925.5242,23.782,0.82,2901.7423,2901.5032,2942.4252,2896.1372,30056943,63480819991
31,sh000035,上证可选,3775.8081,33.9,0.906,3741.9079,3747.3524,3792.0621,3739.5656,12574643,23510990015
32,sh000036,上证消费,16189.7731,329.554,2.078,15860.2196,15928.5415,16266.2112,15820.1668,2835827,24461315069
33,sh000037,上证医药,9375.3443,149.41,1.619,9225.9339,9280.1168,9415.2838,9253.4592,4618659,27769702459
34,sh000038,上证金融,4815.0017,36.616,0.766,4778.3857,4775.0693,4834.1263,4743.9874,23860753,37521559638
35,sh000039,上证信息,4930.8067,24.51,0.5,4906.2967,4907.6827,4948.9546,4842.592,5825335,35742527748
36,sh000040,上证电信,2764.2595,19.61,0.714,2744.6492,2747.1045,2773.3855,2742.1743,4314155,6813842762
37,sh000041,上证公用,2026.8041,19.024,0.948,2007.7801,2011.7617,2036.8634,2006.78,19285568,11831226048
38,sh000042,上证央企,1589.754,8.431,0.533,1581.3228,1583.1592,1593.658,1576.3217,31857363,49017540986
39,sh000043,超大盘,2519.9546,32.46,1.305,2487.4944,2495.1946,2527.1354,2494.6447,15161119,67940222556
40,sh000044,上证中盘,4400.783,46.43,1.066,4354.3526,4360.1354,4411.1242,4356.7173,107389745,139781872180
41,sh000045,上证小盘,5283.1333,43.302,0.826,5239.8315,5241.9883,5293.8731,5231.0131,120241019,142485319567
42,sh000046,上证中小,4835.4283,45.957,0.96,4789.4717,4793.879,4845.7768,4789.0315,227630764,282267191747
43,sh000047,上证全指,3878.4256,47.061,1.228,3831.3645,3836.8722,3889.9769,3835.1466,265839009,402043653376
44,sh000048,责任指数,1489.3084,5.377,0.362,1483.9314,1485.1726,1494.693,1477.653,34213461,64989276901
45,sh000049,上证民企,2816.4727,43.016,1.551,2773.4567,2782.6625,2833.9386,2770.7115,28935199,93793106854
46,sh000050,50等权,2505.8959,34.753,1.406,2471.1431,2474.6933,2512.7545,2474.3952,38208245,119776461629
47,sh000051,180等权,9861.5943,117.543,1.206,9744.051,9747.8879,9880.154,9743.9399,145597990,259558333809
48,sh000052,50基本,2650.5014,13.362,0.507,2637.139,2638.9447,2658.6674,2626.5936,38208245,119776461629
49,sh000053,180基本,10443.5401,53.599,0.516,10389.9414,10399.1265,10470.7047,10373.5596,145597990,259558333809
50,sh000054,上证海外,1354.245,13.463,1.004,1340.782,1343.1115,1360.898,1341.2874,54492343,82809846889
