,open,close,high,low,volume,money
2005-01-04 10:00:00,836.99,832.13,836.99,824.24,98099000.0,488874511592.0
2005-01-04 10:30:00,832.17,831.81,833.74,831.59,46473300.0,250868192.0
2005-01-04 11:00:00,831.85,831.66,832.41,829.88,34324500.0,196456576.0
2005-01-04 11:30:00,831.73,833.65,834.64,831.21,29538000.0,172841408.0
2005-01-04 13:30:00,833.8,827.05,833.8,826.73,56444200.0,1629852330.0
2005-01-04 14:00:00,827.48,825.14,828.63,824.08,57527800.0,301057152.0
2005-01-04 14:30:00,825.42,826.17,827.04,825.41,32015100.0,179282816.0
2005-01-04 15:00:00,826.34,827.07,828.18,826.08,48747800.0,259014656.0
2005-01-05 10:00:00,825.07,826.83,829.41,823.99,28927400.0,224073850.0
2005-01-05 10:30:00,826.91,824.36,827.64,824.36,30520700.0,190785296.0
2005-01-05 11:00:00,824.54,828.54,828.68,822.98,43497400.0,260938368.0
2005-01-05 11:30:00,828.69,834.05,836.26,826.94,60755000.0,337118400.0
2005-01-05 13:30:00,834.03,829.8,834.09,829.25,34799000.0,1116672890.0
2005-01-05 14:00:00,829.67,828.62,830.64,827.73,26071600.0,147098752.0
2005-01-05 14:30:00,828.73,828.34,830.11,827.7,26625400.0,157757440.0
2005-01-05 15:00:00,828.31,831.43,832.11,828.17,50889800.0,279488256.0
2005-01-06 10:00:00,832.92,829.67,832.98,829.2,24568300.0,119064702991.0
2005-01-06 10:30:00,829.94,824.81,829.94,824.71,45477600.0,246193744.0
2005-01-06 11:00:00,824.64,827.28,827.28,824.11,32790500.0,186862752.0
2005-01-06 11:30:00,827.31,826.58,828.88,826.33,22916600.0,141991360.0
2005-01-06 13:30:00,826.46,821.84,826.7,821.84,35240100.0,2058421490.0
2005-01-06 14:00:00,821.81,823.29,823.99,821.58,30135800.0,155971584.0
2005-01-06 14:30:00,823.37,821.23,823.37,821.07,34558900.0,189959168.0
2005-01-06 15:00:00,821.27,822.5,823.06,820.34,49116500.0,271885440.0
2005-01-07 10:00:00,822.67,819.99,825.42,819.99,30139100.0,126785818430.0
2005-01-07 10:30:00,820.03,824.89,824.9,819.44,52139200.0,250557600.0
2005-01-07 11:00:00,824.68,829.28,832.73,823.89,50959800.0,299079712.0
2005-01-07 11:30:00,829.2,827.91,829.2,826.51,27899700.0,160824128.0
2005-01-07 13:30:00,828.21,827.69,828.24,826.24,22529800.0,688595082.0
2005-01-07 14:00:00,827.67,824.85,827.67,823.62,35830500.0,182419712.0
2005-01-07 14:30:00,824.8,821.67,824.82,820.74,36516000.0,187049216.0
2005-01-07 15:00:00,821.69,823.62,825.0,819.67,50594500.0,286026496.0
2005-01-10 10:00:00,823.77,821.18,823.96,821.11,31086700.0,161919420740.0
2005-01-10 10:30:00,821.43,823.47,824.06,821.09,23678100.0,132521984.0
2005-01-10 11:00:00,823.1,827.33,827.7,822.17,29112500.0,159133856.0
2005-01-10 11:30:00,827.19,826.75,828.06,825.82,25784200.0,160645472.0
2005-01-10 13:30:00,826.56,826.14,826.88,825.41,17339200.0,479701799.0
2005-01-10 14:00:00,826.25,829.37,829.89,825.87,30418300.0,158636992.0
2005-01-10 14:30:00,829.84,832.48,833.48,828.77,49397600.0,276182656.0
2005-01-10 15:00:00,832.39,832.99,833.43,830.7,41124500.0,249010176.0
2005-01-11 10:00:00,833.21,835.87,836.08,831.44,29453500.0,137521462754.0
2005-01-11 10:30:00,836.06,837.77,839.59,836.01,54299100.0,300018176.0
2005-01-11 11:00:00,837.3,834.93,837.61,834.93,34121600.0,190536352.0
2005-01-11 11:30:00,835.02,836.47,836.47,833.95,21492600.0,126027264.0
