,open,close,low,high,volume,money,factor,pre_close
2005-01-04,836.99,827.07,824.01,836.99,403169700.0,2136408535.0,1.0,842.73
2005-01-05,825.71,831.43,822.97,836.43,302086300.0,1705649112.0,1.0,827.07
2005-01-06,831.99,822.5,820.34,833.07,275357400.0,1519686788.0,1.0,831.43
2005-01-07,822.67,823.62,819.44,832.95,306608600.0,1640665371.0,1.0,822.5
2005-01-10,823.77,832.99,821.0,833.65,247941100.0,1402314275.0,1.0,823.62
2005-01-11,833.21,837.86,831.38,839.69,245009800.0,1384285975.0,1.0,832.99
2005-01-12,837.36,837.24,831.18,837.8,163275100.0,913345079.0,1.0,837.86
2005-01-13,836.17,834.22,833.1,838.19,209669400.0,1050540719.0,1.0,837.24
2005-01-14,834.35,829.04,828.05,845.55,362708700.0,1655199286.0,1.0,834.22
2005-01-17,821.19,811.55,810.0,825.54,325221700.0,1694630703.0,1.0,829.04
2005-01-18,811.32,817.31,805.37,817.69,371926500.0,1756768049.0,1.0,811.55
2005-01-19,816.64,810.99,809.49,817.16,329754700.0,1465256090.0,1.0,817.31
2005-01-20,807.39,805.08,801.07,810.87,364939500.0,1794369342.0,1.0,810.99
2005-01-21,803.09,831.85,798.35,835.24,740780600.0,3793339735.0,1.0,805.08
2005-01-24,847.07,842.41,831.08,851.24,648612400.0,3443129365.0,1.0,831.85
2005-01-25,839.72,841.64,832.09,842.19,411928100.0,2248890591.0,1.0,842.41
2005-01-26,840.82,834.67,833.64,844.07,301807700.0,1677342219.0,1.0,841.64
2005-01-27,831.83,821.71,820.93,833.75,302954000.0,1531173879.0,1.0,834.67
2005-01-28,819.66,820.69,816.54,822.82,233991800.0,1189618540.0,1.0,821.71
2005-01-31,817.93,813.75,810.72,819.35,258840800.0,1331737139.0,1.0,820.69
2005-02-01,812.56,817.87,812.15,824.11,273230300.0,1465250787.0,1.0,813.75
2005-02-02,819.25,860.5,819.25,860.88,777403300.0,4262551034.0,1.0,817.87
2005-02-03,856.77,848.49,846.41,867.2,712029000.0,3920720189.0,1.0,860.5
2005-02-04,847.62,872.88,845.45,877.39,733155500.0,4193941398.0,1.0,848.49
2005-02-16,877.97,875.46,871.38,884.99,505684400.0,2827036330.0,1.0,872.88
2005-02-17,876.64,870.09,861.45,876.64,363484800.0,2082719031.0,1.0,875.46
2005-02-18,869.4,856.21,855.42,870.53,352132300.0,1919298220.0,1.0,870.09
2005-02-21,856.95,874.02,856.95,874.1,432910000.0,2395829415.0,1.0,856.21
2005-02-22,874.95,887.07,870.59,889.98,667449000.0,3748027747.0,1.0,874.02
2005-02-23,886.67,877.91,872.56,886.67,745959300.0,4155038972.0,1.0,887.07
2005-02-24,875.73,877.35,870.04,878.14,547588900.0,3099816301.0,1.0,877.91
2005-02-25,878.22,878.5,877.1,888.79,654335800.0,3923305702.0,1.0,877.35
2005-02-28,878.55,868.89,864.65,878.66,484748700.0,2822666898.0,1.0,878.5
2005-03-01,868.37,866.26,863.49,871.42,317994800.0,1886264154.0,1.0,868.89
2005-03-02,866.08,855.88,855.28,875.07,595192200.0,3591714424.0,1.0,866.26
2005-03-03,854.79,861.69,851.43,863.1,333921400.0,1823063553.0,1.0,855.88
2005-03-04,862.11,859.49,858.13,866.58,298302300.0,1788447913.0,1.0,861.69
2005-03-07,859.66,863.7,859.52,865.53,279701300.0,1693090958.0,1.0,859.49
2005-03-08,867.83,876.34,863.6,876.88,525746400.0,3158969746.0,1.0,863.7
2005-03-09,878.36,869.4,867.07,880.49,697399300.0,3872790925.0,1.0,876.34
2005-03-10,869.02,851.53,850.04,869.1,559164300.0,2948232889.0,1.0,869.4
2005-03-11,850.91,853.9,847.81,857.27,466169500.0,2669410222.0,1.0,851.53
2005-03-14,853.36,857.61,844.18,865.82,553753400.0,3548545136.0,1.0,853.9
2005-03-15,857.34,840.96,839.45,857.63,466762400.0,2752373557.0,1.0,857.61
