,open,close,low,high,volume,money,factor,pre_close
2006-08-01 09:31:00,1018.68,1020.81,1018.68,1021.45,8193800.0,835543291320.0,1.0,1020.54
2006-08-01 09:32:00,1020.6,1022.47,1020.6,1022.47,2056900.0,37907216.0,1.0,1020.81
2006-08-01 09:33:00,1022.42,1022.72,1022.42,1023.09,1955200.0,9148468.0,1.0,1022.47
2006-08-01 09:34:00,1023.68,1024.39,1023.56,1024.39,1989200.0,9097500.0,1.0,1022.72
2006-08-01 09:35:00,1024.02,1024.2,1024.02,1024.43,2411000.0,9861812.0,1.0,1024.39
2006-08-01 09:36:00,1024.99,1025.28,1024.48,1025.28,2572800.0,13063836.0,1.0,1024.2
2006-08-01 09:37:00,1025.16,1025.47,1025.14,1025.47,3784000.0,13535024.0,1.0,1025.28
2006-08-01 09:38:00,1025.12,1024.74,1024.74,1025.32,3401300.0,16128880.0,1.0,1025.47
2006-08-01 09:39:00,1024.61,1024.21,1024.2,1024.76,2029000.0,15599936.0,1.0,1024.74
2006-08-01 09:40:00,1024.21,1023.78,1023.78,1024.64,2615600.0,10513520.0,1.0,1024.21
2006-08-01 09:41:00,1023.95,1022.95,1022.8,1023.95,2683400.0,13618704.0,1.0,1023.78
2006-08-01 09:42:00,1022.79,1021.88,1021.8,1022.79,2666200.0,13939568.0,1.0,1022.95
2006-08-01 09:43:00,1022.22,1021.65,1021.39,1022.22,2762100.0,13021120.0,1.0,1021.88
2006-08-01 09:44:00,1021.34,1020.48,1020.48,1021.37,2119800.0,13425232.0,1.0,1021.65
2006-08-01 09:45:00,1020.34,1019.73,1019.73,1020.34,2996400.0,11105904.0,1.0,1020.48
2006-08-01 09:46:00,1019.51,1018.98,1018.8,1019.64,2470700.0,15930688.0,1.0,1019.73
2006-08-01 09:47:00,1019.28,1017.72,1017.72,1019.28,2460600.0,13097184.0,1.0,1018.98
2006-08-01 09:48:00,1017.74,1016.59,1016.59,1017.74,2873300.0,12239824.0,1.0,1017.72
2006-08-01 09:49:00,1016.52,1016.11,1015.99,1016.54,3818900.0,15514208.0,1.0,1016.59
2006-08-01 09:50:00,1015.89,1015.15,1015.15,1015.89,3480600.0,18564336.0,1.0,1016.11
2006-08-01 09:51:00,1014.61,1014.15,1014.15,1014.72,4549700.0,17389088.0,1.0,1015.15
2006-08-01 09:52:00,1014.32,1013.83,1013.79,1014.44,3756800.0,22885344.0,1.0,1014.15
2006-08-01 09:53:00,1013.64,1013.13,1013.13,1013.71,4151900.0,18400704.0,1.0,1013.83
2006-08-01 09:54:00,1013.05,1013.23,1012.91,1013.53,4106200.0,20871872.0,1.0,1013.13
2006-08-01 09:55:00,1013.14,1013.22,1012.83,1013.42,3906800.0,21914208.0,1.0,1013.23
2006-08-01 09:56:00,1013.27,1013.35,1013.08,1013.77,4673800.0,17968320.0,1.0,1013.22
2006-08-01 09:57:00,1013.27,1013.42,1013.17,1013.88,3061700.0,22225760.0,1.0,1013.35
2006-08-01 09:58:00,1013.41,1014.56,1013.41,1014.56,2619400.0,16074848.0,1.0,1013.42
2006-08-01 09:59:00,1014.28,1015.09,1014.28,1015.09,3061700.0,13050176.0,1.0,1014.56
