,open,close,high,low,volume,money
2005-01-04 10:00:00,1260.78,1249.02,1260.782,1238.187,172772400.0,834096848.0
2005-01-04 10:30:00,1249.41,1249.17,1252.395,1248.695,99366600.0,517073216.0
2005-01-04 11:00:00,1248.82,1247.8,1249.037,1245.634,87566700.0,440034560.0
2005-01-04 11:30:00,1247.85,1250.28,1250.914,1247.129,72059700.0,387746560.0
2005-01-04 13:30:00,1250.61,1243.28,1250.611,1243.163,108445800.0,561848320.0
2005-01-04 14:00:00,1243.51,1240.11,1245.393,1238.86,114801700.0,599276798.0
2005-01-04 14:30:00,1240.2,1241.09,1241.659,1240.204,85381400.0,438972932.0
2005-01-04 15:00:00,1241.48,1242.77,1243.376,1240.377,130935600.0,678346506.0
2005-01-05 10:00:00,1240.61,1243.74,1247.239,1238.521,94100200.0,460035260.0
2005-01-05 10:30:00,1243.78,1238.8,1244.362,1238.803,85790500.0,486099200.0
2005-01-05 11:00:00,1238.82,1244.78,1245.113,1235.747,130308300.0,686857792.0
2005-01-05 11:30:00,1245.22,1255.86,1258.53,1243.393,183261700.0,995158534.0
2005-01-05 13:30:00,1255.94,1248.99,1255.938,1248.492,94025200.0,504148994.0
2005-01-05 14:00:00,1248.69,1246.28,1249.725,1245.49,83197700.0,454599680.0
2005-01-05 14:30:00,1246.65,1246.44,1248.201,1245.95,82883800.0,476676352.0
2005-01-05 15:00:00,1246.48,1251.94,1252.784,1246.161,161864100.0,887214316.0
2005-01-06 10:00:00,1252.73,1248.0,1252.735,1247.64,109585900.0,567634922.0
2005-01-06 10:30:00,1248.07,1242.13,1248.07,1242.105,115644100.0,615310976.0
2005-01-06 11:00:00,1242.02,1244.71,1244.75,1241.298,90676500.0,478545666.0
2005-01-06 11:30:00,1244.81,1244.44,1247.122,1243.765,71875500.0,392553344.0
2005-01-06 13:30:00,1244.04,1235.68,1244.379,1235.681,98318100.0,515939076.0
2005-01-06 14:00:00,1235.28,1237.62,1238.713,1235.284,87180500.0,450113794.0
2005-01-06 14:30:00,1237.61,1235.52,1237.655,1234.319,107424200.0,579619844.0
2005-01-06 15:00:00,1235.54,1239.43,1239.871,1234.403,151047700.0,794558204.0
2005-01-07 10:00:00,1239.32,1236.81,1243.031,1236.808,90834900.0,469125056.0
2005-01-07 10:30:00,1236.79,1242.86,1242.857,1235.515,113560100.0,611826752.0
2005-01-07 11:00:00,1242.8,1251.09,1255.949,1241.721,172238100.0,976308480.0
2005-01-07 11:30:00,1251.28,1249.12,1251.561,1247.721,100451500.0,563042804.0
2005-01-07 13:30:00,1249.41,1248.08,1249.409,1246.784,79926200.0,435798532.0
2005-01-07 14:00:00,1248.01,1244.76,1248.011,1243.055,99512200.0,531363074.0
2005-01-07 14:30:00,1244.68,1240.37,1244.745,1238.948,113517800.0,595450366.0
2005-01-07 15:00:00,1240.31,1244.75,1248.36,1237.873,162126300.0,883998722.0
2005-01-10 10:00:00,1243.58,1236.22,1243.576,1236.221,96671800.0,504521318.0
2005-01-10 10:30:00,1236.27,1238.96,1239.216,1236.271,82888400.0,433924256.0
2005-01-10 11:00:00,1238.83,1245.25,1245.294,1237.3,90965400.0,484895360.0
2005-01-10 11:30:00,1245.56,1243.29,1246.65,1242.717,82492200.0,452394624.0
2005-01-10 13:30:00,1243.28,1242.05,1243.652,1241.398,62625800.0,335962364.0
2005-01-10 14:00:00,1242.11,1247.44,1247.688,1241.846,86321600.0,463926016.0
