,open,close,high,low,volume,money
2007-01-15 10:00:00,1881.47,1892.09,1914.03,1881.47,613870000.0,1168944410500.0
2007-01-15 10:30:00,1891.89,1927.61,1928.32,1891.84,483340000.0,924244587700.0
2007-01-15 11:00:00,1927.6,1936.69,1943.57,1927.6,452800000.0,876586355000.0
2007-01-15 11:30:00,1936.71,1954.57,1954.65,1936.68,417090000.0,811823502000.0
2007-01-15 13:30:00,1953.323,1951.29,1962.43,1951.29,428150000.0,838632511800.0
2007-01-15 14:00:00,1950.98,1962.5,1962.5,1949.56,441280000.0,863322751900.0
2007-01-15 14:30:00,1962.65,1970.13,1975.9,1962.65,474340000.0,934164638600.0
2007-01-15 15:00:00,1970.14,1986.54,1986.54,1969.81,556230000.0,1100651495500.0
2007-01-16 10:00:00,2002.57,2016.06,2016.6,1999.52,801612000.0,5011425000.0
2007-01-16 10:30:00,2016.01,1991.06,2016.13,1990.87,673104000.0,4250500000.0
2007-01-16 11:00:00,1991.03,2016.01,2016.01,1991.03,530864000.0,3413475000.0
2007-01-16 11:30:00,2016.09,2014.11,2025.62,2013.04,448827000.0,2951480000.0
2007-01-16 13:30:00,2014.6,2007.15,2025.27,2007.15,517722000.0,3375740000.0
2007-01-16 14:00:00,2007.1,2034.45,2034.63,2004.06,565243000.0,3657640000.0
2007-01-16 14:30:00,2034.43,2053.02,2053.41,2032.53,581560000.0,3696730000.0
2007-01-16 15:00:00,2052.78,2055.02,2055.02,2048.88,688510000.0,4332060000.0
2007-01-17 10:00:00,2064.29,2061.69,2073.1,2054.73,925234600.0,5987637000.0
2007-01-17 10:30:00,2061.9,2086.09,2086.11,2061.87,741808400.0,4841633000.0
2007-01-17 11:00:00,2086.03,2079.47,2087.99,2072.52,562753000.0,3717580000.0
2007-01-17 11:30:00,2079.27,2087.96,2088.38,2075.67,484752000.0,3328380000.0
2007-01-17 13:30:00,2088.57,2065.61,2093.86,2064.92,799204000.0,5196310000.0
2007-01-17 14:00:00,2065.42,2035.92,2065.42,2031.35,837474000.0,5393540000.0
2007-01-17 14:30:00,2035.52,2023.78,2035.52,1992.54,826000000.0,5351410000.0
2007-01-17 15:00:00,2023.82,2035.65,2047.91,2023.82,706062800.0,4558700000.0
2007-01-18 10:00:00,2025.85,2010.8,2046.81,2010.67,907883800.0,5733536000.0
2007-01-18 10:30:00,2010.81,2040.29,2041.75,2009.51,617526200.0,3940163000.0
2007-01-18 11:00:00,2040.33,2007.9,2042.6,2002.77,631327000.0,4103111000.0
2007-01-18 11:30:00,2008.15,2017.5,2017.57,2003.09,465014000.0,3012740000.0
2007-01-18 13:30:00,2017.92,2032.72,2032.78,2016.04,459373000.0,2904050000.0
2007-01-18 14:00:00,2032.84,2054.65,2054.82,2032.78,522088800.0,3430370000.0
2007-01-18 14:30:00,2054.52,2073.55,2073.55,2048.61,663605200.0,3988040000.0
2007-01-18 15:00:00,2073.68,2085.4,2085.4,2073.68,828128000.0,5096200000.0
2007-01-19 10:00:00,2097.51,2119.8,2120.92,2097.51,1036320000.0,6591622000.0
2007-01-19 10:30:00,2119.89,2128.64,2130.24,2119.61,767735000.0,4938858000.0
2007-01-19 11:00:00,2128.74,2128.84,2136.28,2123.04,668970000.0,4418650000.0
2007-01-19 11:30:00,2128.95,2129.93,2130.1,2118.05,530498000.0,3447400000.0
2007-01-19 13:30:00,2130.48,2141.39,2141.39,2130.48,630719000.0,4072390000.0
2007-01-19 14:00:00,2141.47,2131.63,2144.56,2122.01,639082000.0,4052060000.0
2007-01-19 14:30:00,2131.83,2148.38,2148.49,2131.78,603608000.0,3778920000.0
2007-01-19 15:00:00,2148.51,2159.64,2159.65,2148.51,915584800.0,5652010000.0
2007-01-22 10:00:00,2183.44,2201.53,2201.55,2183.44,1197548000.0,7668817000.0
2007-01-22 10:30:00,2201.79,2203.05,2212.22,2201.67,874354000.0,5634733000.0
2007-01-22 11:00:00,2202.84,2213.61,2213.61,2202.84,662132000.0,4440660000.0
2007-01-22 11:30:00,2213.52,2218.99,2223.2,2213.49,629446800.0,4026300000.0
2007-01-22 13:30:00,2219.93,2212.99,2228.87,2212.99,779617200.0,5037470000.0
2007-01-22 14:00:00,2213.04,2233.96,2234.03,2211.96,650100000.0,4254600000.0
2007-01-22 14:30:00,2234.03,2246.83,2246.83,2231.61,695682800.0,4338440000.0
2007-01-22 15:00:00,2246.92,2258.99,2259.0,2246.84,870039200.0,5527350000.0
2007-01-23 10:00:00,2267.45,2226.34,2268.69,2226.31,1159052000.0,7375651000.0
2007-01-23 10:30:00,2226.32,2243.04,2243.23,2221.92,779250000.0,5015839000.0
2007-01-23 11:00:00,2243.02,2216.04,2253.22,2216.04,769495000.0,4969920000.0
2007-01-23 11:30:00,2215.86,2190.43,2227.45,2190.43,721091800.0,4731290000.0
2007-01-23 13:30:00,2190.26,2210.63,2210.8,2175.68,693941200.0,4574990000.0
2007-01-23 14:00:00,2210.76,2228.34,2235.25,2206.53,547266000.0,3614390000.0
2007-01-23 14:30:00,2228.2,2246.55,2260.16,2227.87,641972000.0,4205470000.0
2007-01-23 15:00:00,2246.63,2261.78,2265.86,2246.63,795950000.0,5112540000.0
2007-01-24 10:00:00,2260.71,2257.26,2261.24,2236.57,915557600.0,6011836000.0
2007-01-24 10:30:00,2257.5,2262.32,2274.48,2257.5,687978400.0,4639564000.0
2007-01-24 11:00:00,2262.37,2263.36,2263.36,2243.68,596776000.0,4042410000.0
2007-01-24 11:30:00,2263.32,2272.39,2272.55,2261.57,452020000.0,3051380000.0
2007-01-24 13:30:00,2272.78,2267.91,2282.26,2265.79,614074000.0,4061390000.0
2007-01-24 14:00:00,2267.98,2289.13,2289.19,2267.95,517230000.0,3418600000.0
2007-01-24 14:30:00,2289.14,2292.21,2292.32,2283.9,507935200.0,3405410000.0
2007-01-24 15:00:00,2292.35,2283.7,2295.19,2271.13,812550800.0,5298120000.0
2007-01-25 10:00:00,2271.52,2250.4,2271.52,2224.14,809820700.0,5357432000.0
2007-01-25 10:30:00,2250.36,2206.33,2250.36,2189.87,874647300.0,5750668000.0
2007-01-25 11:00:00,2206.54,2217.65,2221.74,2204.39,529170000.0,3637850000.0
2007-01-25 11:30:00,2217.71,2227.86,2232.08,2203.88,434972000.0,2995010000.0
2007-01-25 13:30:00,2228.04,2232.4,2233.91,2222.95,391222000.0,2672080000.0
2007-01-25 14:00:00,2232.43,2250.01,2252.25,2232.16,409975200.0,2835900000.0
2007-01-25 14:30:00,2249.95,2215.41,2249.97,2213.88,505664000.0,3383630000.0
2007-01-25 15:00:00,2215.43,2174.24,2215.43,2173.0,862094800.0,5540350000.0
2007-01-26 10:00:00,2143.99,2151.53,2172.07,2135.01,662845100.0,4214468000.0
