,open,close,high,low,volume,money
2014-06-18 10:00:00,1344.05,1340.59,1351.16,1340.16,7920300000.0,10659741702575.0
2014-06-18 10:30:00,1340.21,1344.45,1345.91,1340.21,6257380000.0,8405441075497.0
2014-06-18 11:00:00,1344.49,1334.72,1344.68,1334.61,4810690000.0,6442359429981.0
2014-06-18 11:30:00,1334.62,1331.207,1335.12,1331.41,3899720000.0,5198592493587.0
2014-06-18 13:30:00,1331.22,1333.98,1335.2,1330.1,3063960000.0,4083072540261.0
2014-06-18 14:00:00,1333.83,1337.9,1338.41,1333.49,4014350000.0,5365210996045.0
2014-06-18 14:30:00,1337.87,1334.04,1338.3,1333.37,3953120000.0,5281701765334.0
2014-06-18 15:00:00,1334.05,1328.84,1336.39,1328.81,4984190000.0,6640716347137.0
2014-06-19 10:00:00,1327.54,1320.79,1334.3,1320.67,5991460000.0,7959223487705.0
2014-06-19 10:30:00,1320.92,1333.85,1334.25,1318.38,4477620000.0,5934526990535.0
2014-06-19 11:00:00,1333.73,1334.14,1334.73,1328.59,4066440000.0,5416495871384.0
2014-06-19 11:30:00,1333.87,1328.587,1335.33,1328.18,2765800000.0,3686500772176.0
2014-06-19 13:30:00,1327.95,1315.65,1329.01,1315.49,3932080000.0,5199719141108.0
2014-06-19 14:00:00,1315.66,1288.67,1316.15,1288.67,7705160000.0,10025079983117.0
2014-06-19 14:30:00,1288.72,1273.26,1288.79,1272.49,8748220000.0,11183118710701.0
2014-06-19 15:00:00,1273.03,1281.12,1283.99,1269.82,7085340000.0,9052990170847.0
2014-06-20 10:00:00,1281.14,1284.98,1291.81,1277.23,6237350000.0,8016125747210.0
2014-06-20 10:30:00,1284.89,1295.21,1296.94,1284.3,4265220000.0,5514523635840.0
2014-06-20 11:00:00,1295.19,1289.59,1297.95,1287.46,3690410000.0,4772083839574.0
2014-06-20 11:30:00,1289.58,1276.78,1291.07,1276.09,3695030000.0,4742441071184.0
2014-06-20 13:30:00,1277.06,1286.41,1286.74,1273.18,3194610000.0,4085287047858.0
2014-06-20 14:00:00,1286.29,1284.32,1288.38,1283.71,2473510000.0,3180900014936.0
2014-06-20 14:30:00,1284.41,1293.58,1294.58,1280.5,3015670000.0,3882012713722.0
2014-06-20 15:00:00,1293.96,1294.98,1295.94,1291.03,4026170000.0,5209764067446.0
2014-06-23 10:00:00,1297.92,1317.69,1319.3,1297.92,8637490000.0,11329635577479.0
2014-06-23 10:30:00,1317.41,1324.78,1325.13,1312.41,5408170000.0,7125470196715.0
2014-06-23 11:00:00,1325.19,1316.89,1325.19,1316.81,3684910000.0,4865722848125.0
2014-06-23 11:30:00,1316.81,1323.82,1324.86,1315.06,3043290000.0,4014645280321.0
2014-06-23 13:30:00,1324.04,1328.23,1328.81,1324.02,3235510000.0,4294043339798.0
2014-06-23 14:00:00,1328.36,1329.72,1330.24,1327.29,3893780000.0,5174342155904.0
2014-06-23 14:30:00,1329.77,1323.25,1329.89,1322.25,3302460000.0,4377570486311.0
2014-06-23 15:00:00,1323.14,1324.14,1323.68,1320.2,4395140000.0,5811751504249.0
2014-06-24 10:00:00,1322.55,1331.41,1334.06,1321.35,6495890000.0,8629215818469.0
2014-06-24 10:30:00,1331.52,1329.1,1331.83,1325.42,4447900000.0,5909178123952.0
2014-06-24 11:00:00,1329.13,1333.19,1335.14,1328.88,4172760000.0,5559870197402.0
2014-06-24 11:30:00,1333.22,1331.402,1333.36,1328.05,2705750000.0,3600568532360.0
2014-06-24 13:30:00,1331.83,1333.31,1333.46,1330.59,2639020000.0,3515732341045.0
2014-06-24 14:00:00,1333.46,1326.32,1333.46,1325.05,3589920000.0,4769340197617.0
2014-06-24 14:30:00,1326.2,1326.86,1328.49,1325.33,3488390000.0,4627645248955.0
2014-06-24 15:00:00,1326.75,1331.38,1331.22,1326.48,4699410000.0,6247764513076.0
2014-06-25 10:00:00,1330.12,1317.71,1330.7,1317.62,7249470000.0,9618257462557.0
2014-06-25 10:30:00,1317.6,1314.89,1317.91,1310.5,6158440000.0,8095593232122.0
2014-06-25 11:00:00,1314.88,1315.06,1317.31,1313.5,3367630000.0,4430243974810.0
2014-06-25 11:30:00,1316.53,1317.365,1321.75,1314.5,2472980000.0,3259578812276.0
2014-06-25 13:30:00,1317.53,1318.73,1318.84,1314.94,2005600000.0,2641585941040.0
2014-06-25 14:00:00,1318.72,1319.16,1321.09,1318.14,2452800000.0,3236812856111.0
2014-06-25 14:30:00,1319.08,1321.23,1321.5,1318.55,3023310000.0,3990484203564.0
2014-06-25 15:00:00,1321.13,1322.78,1324.22,1320.59,4977550000.0,6581846049539.0
2014-06-26 10:00:00,1323.84,1346.5,1347.27,1323.84,8428800000.0,11268914014925.0
2014-06-26 10:30:00,1346.84,1350.67,1351.02,1346.28,6401590000.0,8630221404685.0
2014-06-26 11:00:00,1350.51,1344.81,1350.96,1344.06,4805920000.0,6476558053605.0
2014-06-26 11:30:00,1344.88,1350.27,1350.45,1344.31,3849200000.0,5191182949066.0
