,open,close,high,low,volume,money
2019-01-23 10:00:00,2207.11,2208.67,2216.79,2204.47,86709500.0,1520721181.0
2019-01-23 10:30:00,2208.45,2215.42,2216.66,2202.36,63278900.0,1127889247.0
2019-01-23 11:00:00,2215.46,2208.22,2216.5,2207.08,43014000.0,732959138.0
2019-01-23 11:30:00,2208.08,2208.12,2212.27,2205.96,37050900.0,610710089.0
2019-01-23 13:30:00,2208.2,2209.48,2209.83,2202.7,41977300.0,683043971.0
2019-01-23 14:00:00,2209.65,2209.82,2211.33,2204.79,38027100.0,626005091.0
2019-01-23 14:30:00,2209.98,2212.93,2213.76,2208.61,38731400.0,639113295.0
2019-01-23 15:00:00,2212.78,2212.73,2213.88,2209.07,52079100.0,925828572.0
2019-01-24 10:00:00,2215.8,2208.79,2221.67,2207.83,93461800.0,1645923822.0
2019-01-24 10:30:00,2209.33,2216.24,2218.47,2202.89,67414000.0,1286454054.0
2019-01-24 11:00:00,2216.28,2232.85,2233.19,2214.02,85586200.0,1386665882.0
2019-01-24 11:30:00,2232.74,2237.45,2244.54,2232.74,93973100.0,1511068017.0
2019-01-24 13:30:00,2238.55,2231.65,2241.84,2231.65,67814900.0,1171323696.0
2019-01-24 14:00:00,2231.57,2232.38,2233.09,2227.31,47814200.0,849279749.0
2019-01-24 14:30:00,2232.4,2234.29,2236.84,2230.08,55339900.0,971687808.0
2019-01-24 15:00:00,2234.35,2230.17,2235.88,2228.89,66686700.0,1133258661.0
2019-01-25 10:00:00,2231.53,2235.26,2239.91,2221.01,104847300.0,1819555412.0
2019-01-25 10:30:00,2235.26,2241.16,2242.69,2231.4,76738000.0,1406660356.0
2019-01-25 11:00:00,2241.33,2241.79,2247.21,2240.4,60992600.0,1248403944.0
2019-01-25 11:30:00,2242.04,2243.79,2245.76,2238.99,62236000.0,1218258540.0
2019-01-25 13:30:00,2244.11,2248.67,2250.78,2243.96,79180500.0,1269267140.0
2019-01-25 14:00:00,2248.66,2252.42,2253.94,2246.51,75206400.0,1324380945.0
2019-01-25 14:30:00,2252.4,2249.13,2252.62,2247.17,80562400.0,1373881625.0
2019-01-25 15:00:00,2249.06,2240.43,2249.06,2238.18,94730300.0,1568435507.0
2019-01-28 10:00:00,2252.5,2264.56,2264.56,2246.86,163853100.0,2839739700.0
2019-01-28 10:30:00,2265.19,2265.68,2271.23,2262.63,88995300.0,1578760834.0
2019-01-28 11:00:00,2264.77,2255.0,2267.21,2255.0,63472200.0,1141906897.0
2019-01-28 11:30:00,2254.97,2248.9,2256.8,2247.62,50666100.0,961177030.0
2019-01-28 13:30:00,2248.78,2245.16,2249.38,2244.65,42227300.0,728690319.0
2019-01-28 14:00:00,2245.11,2236.77,2245.35,2235.16,50793600.0,877712483.0
2019-01-28 14:30:00,2236.5,2234.57,2241.64,2233.17,46162400.0,772125040.0
2019-01-28 15:00:00,2235.29,2238.22,2240.49,2234.43,56018700.0,949756562.0
2019-01-29 10:00:00,2240.06,2232.28,2241.13,2226.56,139061400.0,2325711909.0
2019-01-29 10:30:00,2232.78,2206.2,2232.78,2201.93,138875900.0,2215943824.0
2019-01-29 11:00:00,2206.09,2215.78,2218.32,2204.84,59275000.0,1005963206.0
2019-01-29 11:30:00,2215.86,2222.63,2224.05,2212.63,47961000.0,789736271.0
2019-01-29 13:30:00,2223.28,2228.32,2228.97,2217.59,45490100.0,780473691.0
2019-01-29 14:00:00,2228.7,2223.89,2235.63,2223.88,54802200.0,922396030.0
2019-01-29 14:30:00,2222.7,2223.67,2231.61,2221.66,50359500.0,906734869.0
2019-01-29 15:00:00,2223.54,2226.94,2226.94,2219.42,65696700.0,1102351675.0
2019-01-30 10:00:00,2220.18,2228.75,2230.7,2208.96,128280300.0,2237840896.0
2019-01-30 10:30:00,2228.36,2229.13,2234.38,2222.93,79103000.0,1412167168.0
2019-01-30 11:00:00,2229.43,2221.21,2231.7,2220.73,62989300.0,1140592128.0
2019-01-30 11:30:00,2221.38,2225.02,2229.56,2220.55,57260700.0,932924416.0
2019-01-30 13:30:00,2224.96,2219.75,2225.83,2217.23,45688400.0,752801792.0
2019-01-30 14:00:00,2220.14,2214.13,2220.28,2212.48,62508500.0,1028571648.0
2019-01-30 14:30:00,2213.86,2213.94,2219.75,2209.48,55042100.0,983716864.0
2019-01-30 15:00:00,2213.72,2203.57,2214.01,2203.57,73324000.0,1218364416.0
2019-01-31 10:00:00,2211.47,2206.05,2218.58,2197.63,145492300.0,2306553856.0
2019-01-31 10:30:00,2207.8,2213.68,2214.33,2207.26,90477900.0,1548806400.0
2019-01-31 11:00:00,2213.65,2219.66,2225.48,2212.52,85643100.0,1374171392.0
2019-01-31 11:30:00,2219.65,2208.85,2221.43,2207.7,62159000.0,1025884672.0
2019-01-31 13:30:00,2208.87,2207.42,2216.65,2206.81,45714800.0,776456704.0
2019-01-31 14:00:00,2207.18,2201.71,2208.53,2201.36,50631700.0,835871744.0
2019-01-31 14:30:00,2201.5,2195.83,2201.52,2191.47,63273300.0,998284800.0
