,open,close,low,high,volume,money,factor,pre_close
2014-07-31,1.63,1.96,1.63,1.96,182266.0,356564.0,0.16076521670910063,1.36
2014-08-01,2.16,2.16,2.16,2.16,75265.0,162382.0,0.16076521670910063,1.96
2014-08-04,2.37,2.37,2.37,2.37,66557.0,157932.0,0.16076521670910063,2.16
2014-08-05,2.61,2.61,2.61,2.61,139023.0,362964.0,0.16076521670910063,2.37
2014-08-06,2.87,2.87,2.87,2.87,215656.0,619206.0,0.16076521670910063,2.61
2014-08-07,3.16,3.16,3.16,3.16,357353.0,1128893.0,0.16076521670910063,2.87
2014-08-08,3.48,3.48,3.48,3.48,491437.0,1708110.0,0.16076521670910063,3.16
2014-08-11,3.82,3.82,3.82,3.82,526457.0,2012644.0,0.16076521670910063,3.48
2014-08-12,4.21,4.21,4.21,4.21,4861841.0,20447048.0,0.16076521670910063,3.82
2014-08-13,4.32,4.63,4.27,4.63,63376676.0,286469024.0,0.16076521670910063,4.21
2014-08-14,4.63,4.51,4.43,4.77,65986967.0,301512768.0,0.16076521670910063,4.63
2014-08-15,4.37,4.28,4.16,4.42,45331659.0,193765584.0,0.16076521670910063,4.51
2014-08-18,4.31,4.39,4.26,4.46,33274636.0,145594160.0,0.16076521670910063,4.28
2014-08-19,4.39,4.66,4.39,4.77,46000529.0,212579712.0,0.16076521670910063,4.39
2014-08-20,4.6,4.85,4.51,5.13,47759883.0,230306528.0,0.16076521670910063,4.66
2014-08-21,4.74,4.66,4.6,4.81,31118336.0,145675904.0,0.16076521670910063,4.85
2014-08-22,4.62,4.68,4.61,4.71,15620493.0,72846312.0,0.16076521670910063,4.66
2014-08-25,4.71,4.71,4.68,4.86,17643860.0,83987720.0,0.16076521670910063,4.68
2014-08-26,4.66,4.57,4.48,4.66,20567073.0,93468536.0,0.16076521670910063,4.71
2014-08-27,4.59,4.67,4.53,4.68,14078213.0,65115760.0,0.16076521670910063,4.57
2014-08-28,4.61,4.82,4.6,5.13,28966950.0,141220944.0,0.16076521670910063,4.67
2014-08-29,4.76,5.16,4.76,5.22,30994404.0,156514048.0,0.16076521670910063,4.82
2014-09-01,5.11,5.68,5.07,5.68,44137582.0,245385840.0,0.16076521670910063,5.16
2014-09-02,5.68,5.79,5.58,5.93,39271157.0,225456112.0,0.16076521670910063,5.68
2014-09-03,5.72,5.75,5.54,5.77,35144555.0,198762000.0,0.16076521670910063,5.79
2014-09-04,5.69,5.82,5.69,6.02,30610490.0,178757312.0,0.16076521670910063,5.75
2014-09-05,5.79,5.91,5.71,5.95,21831992.0,127249360.0,0.16076521670910063,5.82
2014-09-09,5.92,5.83,5.77,6.01,12576925.0,73492552.0,0.16076521670910063,5.91
2014-09-10,5.77,6.08,5.71,6.14,20791077.0,123502864.0,0.16076521670910063,5.83
2014-09-11,6.16,5.99,5.92,6.17,21255885.0,127675512.0,0.16076521670910063,6.08
2014-09-12,5.95,5.88,5.83,5.96,13207117.0,77591464.0,0.16076521670910063,5.99
2014-09-15,5.88,5.92,5.8,5.96,14054844.0,82625136.0,0.16076521670910063,5.88
2014-09-16,5.9,5.78,5.7,5.93,11903744.0,68941736.0,0.16076521670910063,5.92
