,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
0,sh000001,上证指数,3593.1533,25.015,0.701,3568.1379,3562.2955,3596.7875,3560.6221,334197652,440181531800
1,sh000002,Ａ股指数,3765.6991,26.244,0.702,3739.455,3733.3177,3769.5219,3731.5594,333864922,439945811824
2,sh000003,Ｂ股指数,279.9784,0.709,0.254,279.2693,279.4693,280.3193,279.1338,325278,176827257
3,sh000004,工业指数,3403.0579,25.022,0.741,3378.0362,3370.9692,3406.1685,3367.8674,212014707,328670238677
4,sh000005,商业指数,2885.883,27.763,0.971,2858.1199,2850.9744,2890.3264,2850.1612,15678295,17934589589
5,sh000006,地产指数,5790.9851,-60.281,-1.03,5851.2657,5834.2993,5849.2734,5744.1357,3802189,3486389179
6,sh000007,公用指数,4512.5947,8.799,0.195,4503.796,4495.2196,4525.3579,4469.4997,40297650,26994548237
7,sh000008,综合指数,2835.6829,21.321,0.758,2814.362,2813.6756,2844.4889,2812.3567,62404812,63095766118
8,sh000009,上证380,6532.2705,55.524,0.857,6476.7466,6466.7946,6536.8023,6449.6775,80410061,99315949108
9,sh000010,上证180,10116.5224,82.677,0.824,10033.845,10022.4381,10134.0962,10018.9088,90669311,165137639145
10,sh000011,基金指数,7538.3362,39.73,0.53,7498.6059,7497.6173,7541.537,7496.6317,178695333,63972077142
11,sh000012,国债指数,189.6106,0.004,0.002,189.6065,189.6221,189.6257,189.5996,243186,236688782
12,sh000013,企债指数,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13,sh000015,红利指数,2993.8966,9.495,0.318,2984.4016,2979.1157,3009.9118,2960.169,23057156,20364555542
14,sh000016,上证50,3256.668,27.037,0.837,3229.6313,3227.0068,3265.5138,3226.0728,29127225,80170176708
15,sh000017,新综指,3036.4604,21.162,0.702,3015.2985,3010.3497,3039.5429,3008.9319,313171747,409606556465
16,sh000018,180金融,5057.8041,54.004,1.079,5003.7997,5002.0045,5086.6775,4999.7744,23755402,28416187864
17,sh000019,治理指数,1149.2165,12.014,1.056,1137.2022,1136.0149,1151.0986,1135.3313,114963066,134532683854
18,sh000020,中型综指,1500.6126,11.582,0.778,1489.0303,1487.2327,1500.9296,1485.6032,35642740,69323795663
19,sh000021,180治理,1039.1016,11.547,1.124,1027.5542,1026.314,1040.889,1025.6244,59621787,89760690548
20,sh000022,沪公司债,218.3053,0.017,0.008,218.2884,218.3123,218.3173,218.2981,262118,254595569
