,open,close,low,high,volume,money,factor,pre_close
2006-06-01 09:31:00,1.48,1.49,1.48,1.49,1258193.0,1867673.0,0.14814894740421325,1.48
2006-06-01 09:32:00,1.48,1.48,1.48,1.49,269999.0,400980.0,0.14814894740421325,1.49
2006-06-01 09:33:00,1.48,1.48,1.48,1.48,1076619.0,1597970.0,0.14814894740421325,1.48
2006-06-01 09:34:00,1.48,1.48,1.48,1.48,1376993.0,2043894.0,0.14814894740421325,1.48
2006-06-01 09:35:00,1.48,1.48,1.48,1.48,709421.0,1050995.0,0.14814894740421325,1.48
2006-06-01 09:36:00,1.48,1.48,1.48,1.48,574422.0,851294.0,0.14814894740421325,1.48
2006-06-01 09:37:00,1.48,1.48,1.48,1.48,509622.0,753872.0,0.14814894740421325,1.48
2006-06-01 09:38:00,1.48,1.48,1.48,1.48,533922.0,788551.0,0.14814894740421325,1.48
2006-06-01 09:39:00,1.48,1.47,1.47,1.48,1044894.0,1540641.0,0.14814894740421325,1.48
2006-06-01 09:40:00,1.47,1.48,1.47,1.48,1154244.0,1701750.0,0.14814894740421325,1.47
2006-06-01 09:41:00,1.48,1.48,1.48,1.48,869395.0,1288434.0,0.14814894740421325,1.48
2006-06-01 09:42:00,1.48,1.48,1.48,1.48,643947.0,952348.0,0.14814894740421325,1.48
2006-06-01 09:43:00,1.48,1.48,1.48,1.48,614247.0,909713.0,0.14814894740421325,1.48
2006-06-01 09:44:00,1.48,1.48,1.48,1.48,639897.0,947810.0,0.14814894740421325,1.48
2006-06-01 09:45:00,1.48,1.48,1.48,1.48,309148.0,457358.0,0.14814894740421325,1.48
2006-06-01 09:46:00,1.48,1.48,1.48,1.48,1749591.0,2591188.0,0.14814894740421325,1.48
2006-06-01 09:47:00,1.48,1.48,1.48,1.48,1198119.0,1776112.0,0.14814894740421325,1.48
2006-06-01 09:48:00,1.48,1.48,1.48,1.48,353023.0,522872.0,0.14814894740421325,1.48
2006-06-01 09:49:00,1.48,1.48,1.48,1.48,232199.0,343952.0,0.14814894740421325,1.48
2006-06-01 09:50:00,1.48,1.48,1.48,1.48,1487692.0,2204000.0,0.14814894740421325,1.48
2006-06-01 09:51:00,1.48,1.49,1.48,1.49,1062444.0,1575016.0,0.14814894740421325,1.48
2006-06-01 09:52:00,1.48,1.48,1.48,1.48,225449.0,334536.0,0.14814894740421325,1.49
2006-06-01 09:53:00,1.48,1.48,1.48,1.48,515022.0,763763.0,0.14814894740421325,1.48
2006-06-01 09:54:00,1.48,1.48,1.48,1.48,913945.0,1355536.0,0.14814894740421325,1.48
2006-06-01 09:55:00,1.48,1.48,1.48,1.48,863995.0,1279643.0,0.14814894740421325,1.48
2006-06-01 09:56:00,1.48,1.48,1.48,1.48,1556542.0,2309714.0,0.14814894740421325,1.48
2006-06-01 09:57:00,1.48,1.49,1.48,1.49,1412767.0,2102311.0,0.14814894740421325,1.48
2006-06-01 09:58:00,1.49,1.49,1.49,1.49,1008445.0,1505272.0,0.14814894740421325,1.49
2006-06-01 09:59:00,1.49,1.5,1.49,1.5,1165719.0,1744760.0,0.14814894740421325,1.49
2006-06-01 10:00:00,1.5,1.51,1.5,1.51,724946.0,1089298.0,0.14814894740421325,1.5
2006-06-01 10:01:00,1.5,1.5,1.5,1.51,732371.0,1102038.0,0.14814894740421325,1.51
2006-06-01 10:02:00,1.5,1.5,1.5,1.5,583872.0,877444.0,0.14814894740421325,1.5
2006-06-01 10:03:00,1.5,1.5,1.5,1.5,777596.0,1167524.0,0.14814894740421325,1.5
2006-06-01 10:04:00,1.5,1.5,1.5,1.5,523122.0,786440.0,0.14814894740421325,1.5
2006-06-01 10:05:00,1.5,1.5,1.5,1.5,657446.0,988268.0,0.14814894740421325,1.5
2006-06-01 10:06:00,1.5,1.49,1.49,1.5,1911590.0,2862852.0,0.14814894740421325,1.5
2006-06-01 10:07:00,1.49,1.49,1.49,1.49,442123.0,660864.0,0.14814894740421325,1.49
2006-06-01 10:08:00,1.49,1.5,1.49,1.5,217349.0,324924.0,0.14814894740421325,1.49
2006-06-01 10:09:00,1.5,1.5,1.5,1.5,533922.0,801024.0,0.14814894740421325,1.5
2006-06-01 10:10:00,1.5,1.5,1.5,1.5,2274063.0,3417656.0,0.14814894740421325,1.5
2006-06-01 10:11:00,1.5,1.5,1.5,1.5,249074.0,374072.0,0.14814894740421325,1.5
2006-06-01 10:12:00,1.5,1.51,1.5,1.51,712121.0,1070685.0,0.14814894740421325,1.5
2006-06-01 10:13:00,1.51,1.51,1.51,1.51,2062789.0,3109384.0,0.14814894740421325,1.51
2006-06-01 10:14:00,1.51,1.51,1.51,1.51,3410757.0,5153012.0,0.14814894740421325,1.51
