,证券代码,证券内部编码,证券简称,机构编码,机构类型,报告日期,报告类型,报告期名称,证券类型编码,公告日期,更新日期,货币资金,同业存放,应付账款,应收账款,预提费用,预收款项,代理买卖证券款,代理承销证券款,摊销费用-金融资产,摊销费用-金融负债,摊销费用-非金融资产,摊销费用-非金融负债,指定为以公允价值计量且其变动计入当期损益的金融资产,指定为以公允价值计量且其变动计入当期损益的金融负债,资产总额,其他资产,分配股利、利润或偿付利息所支付的现金,可供出售金融资产,应付债券,拆入资金,买入返售金融资产,资本公积,在建工程,消耗性生物资产,合同资产,合同负债,外币报表折算差额,应付投资款,流动资产合计,流动资产其他项目,流动负债合计,流动负债其他项目,递延收益,一年内递延收益,递延所得税资产,递延所得税负债,衍生金融资产,衍生金融负债,开发支出,持有待售的资产,持有待售的负债,应付股利,应收股利,所有者权益合计,所有者权益其他项目,出口退税,应付手续费及佣金,融资租赁负债,融资租赁资产,固定资产,固定资产清理,以后按公允价值计量且其变动计入其他综合收益的金融资产,以后按公允价值计量且其变动计入其他综合收益的非金融资产,以公允价值计量且其变动计入当期损益的金融资产,以公允价值计量且其变动计入当期损益的金融负债,一般风险准备,商誉,持有至到期投资,持有待售的资产,持有待售的负债,保险合同准备金,无形资产,应付利息,应收利息,内部应付款,内部应收款,存货,投资性房地产,租赁负债,拆出资金,负债合计,负债和所有者权益合计,负债和所有者权益其他项目,负债其他项目,发放贷款及垫款,拆出资金,长期股权投资,长期借款,长期应付款,长期待摊费用,长期应收款,长期应付职工薪酬,少数股东权益,货币资金,一年内到期的非流动资产,非流动资产合计,非流动资产其他项目,一年内到期的非流动负债,非流动负债合计,非流动负债其他项目,应付账款,应收账款,应付票据,应收票据,油气资产,其他综合收益,其他债权投资,其他流动资产,其他流动负债,其他权益工具投资,其他权益工具,其他权益工具,其他非流动资产,其他非流动金融资产,其他非流动负债,其他应付款,其他应收款,归属于母公司股东权益,归属于母公司的其他权益工具,永续债,应付永续债,预计流动负债,预计负债,优先股,应付优先股,预收保费,预付款项,生产性生物资产,工程物资,应收保费返还款,应付分保账款,应收分保账款,卖出回购金融资产款,结算备付金,股本,应付短期债券,应付短期融资款,短期借款,专项应付款,专项储备,应付职工薪酬,应收补贴款,盈余公积,应交税费,资产总计,流动资产合计,流动负债合计,所有者权益合计,负债和所有者权益总计,负债合计,非流动资产合计,非流动负债合计,其他应付款合计,其他应收款合计,归属于母公司股东权益合计,交易性金融资产,交易性金融资产（不公允价值变动计入当期损益）,交易性金融负债,交易性金融负债（不公允价值变动计入当期损益）,库存股,未分配利润,未确认投资损失,使用权资产,同业存放款项,应付账款,应收账款,预提费用,预收款项,代理买卖证券款,代理承销证券款,摊销交易性金融资产损失,摊销交易性金融负债费用,摊销非交易性金融资产损失,摊销非交易性金融负债费用,应收款项类投资,应付款项类投资,资产总额,其他资产,分配股利、利润或偿付利息所支付的现金,可供出售金融资产,应付债券,借款,买入返售金融资产款,资本公积,在建工程,消耗性生物资产,合同资产,合同负债,外币报表折算差额,债权投资,流动资产合计,其他流动资产,流动负债合计,其他流动负债,一年内的递延收益,递延收益,递延所得税资产,递延所得税负债,衍生金融资产,衍生金融负债,研发费用同比增长率,持有待售资产减值准备同比增长率,持有待售负债减值准备同比增长率,应付股利同比增长率,应收股利同比增长率,股东权益同比增长率,其他股东权益同比增长率,出口退税同比增长率,应付手续费及佣金同比增长率,融资租赁资产同比增长率,融资租赁负债同比增长率,固定资产处置收益同比增长率,固定资产同比增长率,以公允价值计量且其变动计入其他综合收益的金融资产同比增长率,以公允价值计量且其变动计入其他综合收益的非流动金融资产同比增长率,以公允价值计量且其变动计入当期损益的金融资产同比增长率,以公允价值计量且其变动计入当期损益的金融负债同比增长率,一般风险准备同比增长率,商誉同比增长率,持有至到期投资同比增长率,持有待售资产同比增长率,持有待售负债同比增长率,保险合同准备金同比增长率,无形资产同比增长率,应付利息同比增长率,应收利息同比增长率,内部应付款同比增长率,内部应收款同比增长率,存货同比增长率,投资性房地产同比增长率,租赁负债同比增长率,拆出资金同比增长率,负债总额同比增长率,负债和股东权益总额同比增长率,其他负债和股东权益同比增长率,其他负债同比增长率,发放贷款及垫款同比增长率,拆入资金同比增长率,长期股权投资同比增长率,长期借款同比增长率,长期应付款同比增长率,长期待摊费用同比增长率,长期应收款同比增长率,长期员工薪酬应付款同比增长率,少数股东权益同比增长率,货币资金同比增长率,一年内到期的非流动资产同比增长率,非流动资产总额同比增长率,其他非流动资产同比增长率,一年内到期的非流动负债同比增长率,非流动负债总额同比增长率,其他非流动负债同比增长率,应付票据同比增长率,应收票据同比增长率,应付账款同比增长率,应收账款同比增长率,油气资产同比增长率,其他综合收益同比增长率,其他债权投资同比增长率,其他流动资产同比增长率,其他流动负债同比增长率,其他权益工具投资同比增长率,其他权益工具及其他股东权益同比增长率,其他权益工具同比增长率,其他非流动资产同比增长率,其他非流动金融资产同比增长率,其他非流动负债同比增长率,其他应付款同比增长率,其他应收款同比增长率,归属于母公司股东权益同比增长率,归属于母公司其他权益工具及其他股东权益同比增长率,永续债应付款同比增长率,永续债同比增长率,预计流动负债同比增长率,预计负债同比增长率,应付优先股同比增长率,优先股同比增长率,预收保费同比增长率,预付款项同比增长率,生产性生物资产同比增长率,工程物资同比增长率,应收款项类投资收益同比增长率,应付分保账款同比增长率,应收分保账款同比增长率,卖出回购金融资产同比增长率,结算备付金同比增长率,股本同比增长率,应付短期债券同比增长率,应付短期融资款同比增长率,短期借款同比增长率,专项应付款同比增长率,专项储备同比增长率,应付职工薪酬同比增长率,应收补贴款同比增长率,盈余公积同比增长率,应交税费同比增长率,资产总额同比增长率,流动资产合计同比增长率,流动负债合计同比增长率,所有者权益合计同比增长率,TOTAL_LIAB_EQUITY_YOY,负债合计同比增长率,非流动资产合计同比增长率,非流动负债合计同比增长率,其他应付款合计同比增长率,其他应收款合计同比增长率,归属于母公司所有者权益同比增长率,交易性金融资产（不公允价值计量且其变动计入当期损益）同比增长率,交易性金融资产同比增长率,交易性金融负债（不公允价值计量且其变动计入当期损益）同比增长率,交易性金融负债同比增长率,减：库存股同比增长率,未分配利润同比增长率,未确认的投资损失同比增长率,使用权资产同比增长率,审计意见类型,其他审计结果类型,上市状态
0,600600.SH,600600,青岛啤酒,10002658,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-25 00:00:00,2023-04-25 00:00:00,CNY,,4192013413.0,140617186.0,,,,,,,,,,,0.0,,,,,,,4213689069.0,462587627.0,,,6191964504,,,0.0,,0.0,,3094342055.0,,2333125543.0,220139911.0,,,,,,37602600.0,,0.0,,,,,,10903086312.0,,,,,,295071942.0,1307103982.0,,,,,2525985345.0,,,,,2607622462.0,28151792.0,90421177.0,,0.0,,,,,,364245750.0,,16264266.0,98264362.0,,907366676.0,760050597.0,15554422004.0,,0.0,,56640161.0,0.0,,4495608970.0,143617186.0,303595557.0,3000000.0,,-71849938.0,,5925120344.0,167125964.0,,,,96484342,600000,,,,0.0,,,,,,,,,265680585.0,,,,,,,,1364232790.0,,,221057001.0,,,2120590650.0,,1400704380.0,1010138556.0,50136236052,31866026602,18038026552,27769675415.0,50136236052,22366560637.0,18270209450.0,4328534085,3774900746.0,125487954.0,27009624818.0,,7244076067,,,171854660.0,19979631235.0,,150574395.0,,15.3392433475,8.6983720906,,,,,,,,,,,,,,,,,,5.7258070631,-39.452294497,,,3.3089670258,,,,,,,,-1.4642713407,4.6169652148,27.1548961497,,,,,,,,,,,,,,,5.8155713891,,,,,0.0742278157,0.0,,,,,3.097219286,,,,,1.4813362157,10.6126580683,-15.0101998652,,,,,,,,-0.4698378515,,-24.4202588685,-17.0395048851,,-5.9334827621,-6.990670777,21.3447549074,,,,15.0188526614,,,15.9872889805,11.0173995548,25.7425283657,,,-22.9754357682,,5.0529197599,-2.8645609022,,,,-41.2460452704,0.0,,,,,,,,,,,,,-4.5130474629,,,,,,,,-0.0089421755,,,-70.2811934266,,,-0.6591554095,,0.0,-8.5032226003,6.6987955068,9.5083468798,2.4487956937,11.1866223933,6.6987955068,1.6069125706,2.1287335353,-1.7573747989,6.8324019623,-82.0990946683,11.8014795085,4.0441871753,,,,-37.0933376206,14.530755656,,-5.5863473805,,,0
1,600600.SH,600600,青岛啤酒,10002658,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-03-23 00:00:00,2023-04-25 00:00:00,CNY,,3463768573.0,119599728.0,,,,,,,,,,,0.0,,,,,,,4154076977.0,456529051.0,,,8909252504,,,0.0,,0.0,,3132390832.0,,2250079564.0,202117651.0,,,,,,972844.0,,0.0,,,,,,11009077139.0,,,,,,295071942.0,1307103982.0,,,,,2557820344.0,,,,,4152187132.0,29056456.0,98401477.0,,0.0,,,,,,368128466.0,,16283766.0,101670196.0,,918404801.0,777490832.0,17854931855.0,,0.0,,49263731.0,0.0,,3661825534.0,124099728.0,198056961.0,4500000.0,,-75800581.0,,6222809869.0,478755359.0,,,,74235192,600000,,,,0.0,,,,,,,,,281866630.0,,,,,,,,1364232790.0,,,225411423.0,,,2180772440.0,,1400704380.0,771894656.0,50311699796,32002483239,19671788734,26272312535.0,50311699796,24039387261.0,18309216557.0,4367598527,3394613087.0,682770179.0,25494821703.0,,2683817846,,,171854660.0,18528390855.0,,154916167.0,,10.7388059188,-4.1129604488,,,,,,,,,,,,,,,,,,5.0014510949,-40.1108342404,,,9.6756198169,,,,,,,,-2.4422386941,5.5694683114,17.9229768595,,,,,,,,,,,,,,,8.4762829329,,,,,0.0742278157,0.0,,,,,3.1067959319,,,,,18.8717343092,13.0823165321,-12.7481475486,,,,,,,,0.5705336905,,-33.6368000398,-19.966026049,,-7.3394004851,-1.8129659696,22.3142414067,,,,1.7249960065,,,11.0350385671,-0.6644434664,16.4845842232,2150.0,,-27.112782719,,-11.8818684963,7.1499400063,,,,-14.5784768558,0.0,,,,,,,,,,,,,23.6326350864,,,,,,,,-0.0089421755,,,-8.2875353351,,,0.373159703,,0.0,-9.6187516683,8.0508020176,10.5110806075,7.7395958619,10.4171360272,8.0508020176,5.5780080132,4.0037267576,-3.1718373909,10.5830175895,1.1783612041,10.8381616717,-3.4042251123,,,,-37.0933376206,13.5419246587,,-7.6574872807,标准无保留意见,,0
2,600600.SH,600600,青岛啤酒,10002658,通用,2022-09-30 00:00:00,三季报,2022三季报,058001001,2022-10-27 00:00:00,2022-10-27 00:00:00,CNY,,4274259961.0,130670715.0,,,,,,,,,,,0.0,,,,,,,4137652684.0,522063423.0,,,5976535618,,,0.0,,0.0,,3119095075.0,,2238975653.0,214106844.0,,,,,,,,0.0,,,,,,10856439342.0,,,,,,294853079.0,1307103982.0,,,,,2471958835.0,,,,,2164276587.0,23998821.0,93140149.0,,0.0,,,,,,375084275.0,,16303266.0,104011380.0,,927472321.0,840497359.0,17045567340.0,,0.0,,59993564.0,0.0,,4549271892.0,141070715.0,275011931.0,10400000.0,,-72119181.0,,3136241221.0,100858595.0,,,,92202920,600000,,,,0.0,,,,,,,,,201233370.0,,,,,,,,1364354793.0,,,254548406.0,,,2274155177.0,,1400704380.0,1379540103.0,49318248328,31167552858,18071652035,26876478638.0,49318248328,22441769690.0,18150695470.0,4370117655,3476748680.0,695580358.0,26035981279.0,,7783583267,,,174212978.0,19084748502.0,,158256839.0,,44.7713025873,-14.7900067712,,,,,,,,,,,,,,,,,,7.001722592,18.3696105832,,,11.393117186,,,,,,,,3.1429619148,14.603393367,25.6941571098,,,,,,,,,,,,,,,4.6965308709,,,,,13.2549440616,0.0,,,,,1.4497256181,,,,,16.793104075,5.2234938424,-19.6489222543,,,,,,,,-2.2437399203,,-93.7582022758,-7.0902955918,,0.2583239563,4.094914078,79.9725847917,,,,26.8666148164,,,43.5813852735,-16.9446248358,27.3172509826,-36.9696969697,,-286.703308812,,-53.4330741705,23.7860732321,,,,-31.3918031918,0.0,,,,,,,,,,,,,32.7012713799,,,,,,,,-0.0089413027,,,-79.6433761555,,,18.8911633042,,0.0,35.9245953334,8.801665413,11.3221238494,8.7464104381,10.996373465,8.801665413,6.284831702,4.7299412342,-2.8124982425,-7.9621593327,592.6241480948,11.2344481029,-18.2096464122,,,,-36.8066422226,13.5435648318,,-6.6987783115,,,0
3,600600.SH,600600,青岛啤酒,10002658,通用,2022-06-30 00:00:00,中报,2022中报,058001001,2022-08-26 00:00:00,2022-08-26 00:00:00,CNY,,4616023920.0,171418869.0,,,,,,,,,,,0.0,,,,,,,4092922042.0,507649435.0,,,5946220902,,,0.0,,0.0,,3180574500.0,,2278374975.0,183875641.0,,,,,,,,0.0,,,,,,10838699597.0,,,,,,294853079.0,1307103982.0,,,,,2426427039.0,,,,,2353137795.0,25161629.0,97569988.0,,0.0,,,,,,367289978.0,,16322766.0,111165463.0,,945757288.0,804116040.0,17587197778.0,,0.0,,60789448.0,0.0,,4865533039.0,172363869.0,249509119.0,945000.0,,-65316287.0,,3314638352.0,147363319.0,,,,148934428,600000,,,,0.0,,,,,,,,,238783629.0,,,,,,,,1364354793.0,,,240044457.0,,,2263513045.0,,1400704380.0,1703089314.0,50077006806,31898898071,20349903428,25303003195.0,50077006806,24774003611.0,18178108735.0,4424100183,5123349904.0,727901212.0,24498887155.0,,7504875436,,,258480721.0,17669849869.0,,166702209.0,,36.2720144933,-13.103090997,,,,,,,,,,,,,,,,,,6.6214853568,53.8094060254,,,13.3732993483,,,,,,,,7.5089183184,13.3994675269,12.1229270327,,,,,,,,,,,,,,,3.1336188542,,,,,13.2549440616,0.0,,,,,-1.9587843646,,,,,6.3016914589,11.9748105029,-12.5207896516,,,,,,,,-1.708350662,,-94.3334290828,17.659289815,,0.3891589859,3.9911217537,88.6562013071,,,,30.023003308,,,35.9236557665,-18.4541755776,29.785636088,-93.2995968626,,-254.9727983642,,-49.7402531934,50.3342776111,,,,47.5085703319,0.0,,,,,,,,,,,,,21.1545637289,,,,,,,,-0.0089413027,,,-46.6870815107,,,20.8110230103,,0.0,39.9841045577,10.6994394029,14.5567023357,14.2204365755,10.221682579,10.6994394029,11.1916920671,4.5235450879,-0.8960997098,-3.4542984385,465.7008066185,10.4388652554,-18.2240854683,,,,-6.2396793383,13.1737520937,,-1.1342362337,,,0
4,600600.SH,600600,青岛啤酒,10002658,通用,2022-03-31 00:00:00,一季报,2022一季报,058001001,2022-04-29 00:00:00,2022-04-29 00:00:00,CNY,,3634507468.0,129364574.0,,,,,,,,,,,0.0,,,,,,,3985487731.0,764005214.0,,,5993637031,,,0.0,,0.0,,3140324933.0,,2230159839.0,173127357.0,,,,,,,,0.0,,,,,,10303858089.0,,,,,,294853079.0,1307103982.0,,,,,2450100364.0,,,,,2569558659.0,25450787.0,106390622.0,,0.0,,,,,,365965193.0,,21519346.0,118447174.0,,964601117.0,817176732.0,12818371932.0,,0.0,,49244241.0,0.0,,3875949692.0,129364574.0,241442224.0,,,-58426252.0,,5640129144.0,172054572.0,,,,164217613,600000,,,,0.0,,,,,,,,,278237579.0,,,,,,,,1364354793.0,,,743828661.0,,,2134661386.0,,1400704380.0,1104015447.0,46988567972,29099176008,17606870271,24975734326.0,46988567972,22012833646.0,17889391964.0,4405963375,3533479241.0,701014567.0,24158557594.0,,6962499553,,,273189919.0,17444773782.0,,159483709.0,,30.3995895784,-8.5889249887,,,,,,,,,,,,,,,,,,6.8171406454,119.7804526781,,,11.184704316,,,,,,,,7.6194239527,17.8325424311,8.6853692143,,,,,,,,,,,,,,,0.2669255295,,,,,13.2549440616,0.0,,,,,-1.4688762065,,,,,3.6886778114,10.9389917182,-5.8888444151,,,,,,,,-4.951970013,,-94.362850114,27.4102781123,,-0.4252738105,4.9495847947,3.7980123596,,,,15.0804014156,,,30.5670120519,-16.9779755221,33.1402457281,,,-186.0894232962,,112.5147191144,18.4871932383,,,,59.5423101582,0.0,,,,,,,,,,,,,23.3589392997,,,,,,,,0.0126081344,,,13.4951395817,,,15.1488028677,,0.0,4.6609660671,9.3306865608,12.3488340697,10.3206851432,11.1125103654,9.3306865608,7.376997842,4.7532280311,-2.9693041694,-8.1831846266,561.0401035833,11.3336556374,-12.2208136419,,,,-2.284202149,14.4454237005,,-2.0082183012,,,0
5,600600.SH,600600,青岛啤酒,10002658,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-03-29 00:00:00,2023-03-23 00:00:00,CNY,,3127872424.0,124729816.0,,,,,,,,,,,0.0,,,,,,,3956209113.0,762289882.0,,,8123275272,,,0.0,,0.0,,3210806388.0,,2131373398.0,171398023.0,,,,,,,,0.0,,,,,,10148833313.0,,,,,,294853079.0,1307103982.0,,,,,2480748549.0,,,,,3492997857.0,25694960.0,112778668.0,,0.0,,,,,,366040084.0,,24537343.0,127033797.0,,991149211.0,791846744.0,14597590313.0,,0.0,,48428344.0,0.0,,3297900898.0,124929816.0,170028474.0,200000.0,,-59632540.0,,7061894939.0,446808798.0,,,,86904552,600000,,,,0.0,,,,,,,,,227987238.0,,,,,,,,1364354793.0,,,245780575.0,,,2172664930.0,,1400704380.0,854042924.0,46563004491,28958619410,18258643516,23793691342.0,46563004491,22769313149.0,17604385081.0,4510669633,3069741775.0,674818381.0,23001844598.0,,2778400866,,,273189919.0,16318545692.0,,167762564.0,,21.8737979972,4.3708008744,,,,,,,,,,,,,,,,,,7.6434068046,124.3313236172,,,23.6923883007,,,,,,,,10.7317413151,24.0391049304,2.2877675023,,,,,,,,,,,,,,,-1.4927774505,,,,,13.2549440616,0.0,,,,,-0.9223597131,,,,,6.4602915307,-5.4756658044,-2.642614349,,,,,,,,-2.2156033412,,-94.6894162456,47.2713314866,,0.0037966462,6.1326370478,-20.952592791,,,,15.0609476799,,,21.4259808816,-0.1799304747,13.7378174419,-96.4592871129,,-200.3955551814,,1178.3797862101,50.9153416191,,,,50.6852185769,0.0,,,,,,,,,,,,,-4.9595143219,,,,,,,,0.0126081344,,,-65.0518993153,,,13.9788879154,,0.0,55.8396141859,12.161670895,17.5835580979,17.7221635023,11.3517093517,12.161670895,13.0207588369,4.2539151352,-2.7073629473,12.403806027,813.2299681162,11.540532634,47.0938394529,,,,-2.284202149,14.7507290412,,-0.3365331237,标准无保留意见,,0
6,600600.SH,600600,青岛啤酒,10002658,通用,2021-09-30 00:00:00,三季报,2021三季报,058001001,2021-10-29 00:00:00,2021-10-29 00:00:00,CNY,,2952422120.0,153351397.0,,,,,,,,,,,0.0,,,,,,,3866902872.0,441045147.0,,,5365264721,,,0.0,,0.0,,3024050325.0,,1953673087.0,170339536.0,,,,,,1167229.0,,0.0,,,,,,10369435598.0,,,,,,260344554.0,1307103982.0,,,,,2436634323.0,,,,,1853085937.0,22807474.0,115916490.0,,0.0,,,,,,383693356.0,,261195039.0,111948887.0,,925082611.0,807433645.0,9471202161.0,,0.0,,47288693.0,0.0,,3168427358.0,169851397.0,216005238.0,16500000.0,,-18649745.0,,6734911453.0,81478144.0,,,,134390531,600000,,,,0.0,,,,,,,,,151643890.0,,,,,,,,1364476795.0,,,1250445103.0,,,1912804210.0,,1400704380.0,1014930447.0,45328578511,27997626869,16618159590,24213834920.0,45328578511,21114743591.0,17330951642.0,4496584001,3777520914.0,100426813.0,23406401275.0,,9516505218,,,275682420.0,16808304839.0,,169619257.0,,7.1323262123,-7.639640274,,,,,,,,,,,,,,,,,,7.3302068316,124.0351056638,,,7.0542047777,,,,,,,,9.1679269336,20.1093499266,-1.5339245861,,,,,,10.5993460095,,,,,,,,,-0.9620187953,,,,,10.9191145645,0.0,,,,,0.4456894172,,,,,-12.774129366,-17.6025473279,4.4840933564,,,,,,,,0.8460279313,,-32.703803677,108.921269509,,6.7660628115,5.9267192679,-52.1117196022,,,,15.3633713636,,,3.0379042614,-11.1358169122,-32.3178643871,-34.2629482072,,57.8570950483,,3670.0988321312,22465.8098590574,,,,20.4862210802,0.0,,,,,,,,,,,,,7.5153873197,,,,,,,,0.021551364,,,372.845375062,,,21.2786408124,,0.0,5.0983947912,10.7695311586,15.8825965578,14.2228603664,9.7435277997,10.7695311586,11.969995577,3.399324869,4.3627436607,4.5403957177,5.6455699875,9.8801074902,475.9599762476,,,,-1.3926731908,11.8824599932,,5.5005675547,,,0
7,600600.SH,600600,青岛啤酒,10002658,通用,2021-06-30 00:00:00,中报,2021中报,058001001,2021-08-26 00:00:00,2021-08-26 00:00:00,CNY,,3387360154.0,197266935.0,,,,,,,,,,,0.0,,,,,,,3838740408.0,330050969.0,,,5244815963,,,0.0,,0.0,,2958428519.0,,2009158442.0,163994685.0,,,,,,,,0.0,,,,,,10509375815.0,,,,,,260344554.0,1307103982.0,,,,,2474905093.0,,,,,2213640971.0,22470794.0,111535058.0,,0.0,,,,,,373673634.0,,288053679.0,94480821.0,,942091056.0,773254511.0,9322353390.0,,0.0,,46752841.0,0.0,,3579607252.0,211370564.0,192247098.0,14103629.0,,-18400364.0,,6595016017.0,98023765.0,,,,100966627,600000,,,,0.0,,,,,,,,,197090082.0,,,,,,,,1364476795.0,,,450255705.0,,,1873598111.0,,1400704380.0,1216630502.0,45236910933,27845510058,17816341837,22956466099.0,45236910933,22280444834.0,17391400875.0,4464102997,5306657698.0,128672472.0,22183211588.0,,9177366562,,,275682420.0,15613028235.0,,168614698.0,,-3.4480789966,32.4216428887,,,,,,,,,,,,,,,,,,17.3626015347,-4.2107929505,,,6.812410776,,,,,,,,14.4163580725,20.2165401241,-3.015624636,,,,,,,,,,,,,,,2.7305167628,,,,,10.9191145645,0.0,,,,,0.4940271172,,,,,-4.4450088331,-30.0267234289,46.0416277672,,,,,,,,0.2522187902,,-28.1399581437,136.9757427537,,5.3036135882,7.8593039084,-50.8225215835,,,,37.2397937518,,,-5.2109487903,18.7594558671,-28.2828716354,-51.3890737659,,63.4923198785,,3432.0107780105,26582.2089145968,,,,-15.1544093858,0.0,,,,,,,,,,,,,22.4317404661,,,,,,,,0.9988284122,,,63.3458196041,,,24.0533587961,,0.0,2.6661187587,11.6828569385,16.9811385886,14.5431692698,10.2409404192,11.6828569385,13.2085159615,4.1315497045,8.1778891019,37.4024054073,17.0020498835,10.3258571404,384.3969786762,,,,,12.3227084091,,38.9711852788,,,0
8,600600.SH,600600,青岛啤酒,10002658,通用,2021-03-31 00:00:00,一季报,2021一季报,058001001,2021-04-23 00:00:00,2021-04-23 00:00:00,CNY,,2787207751.0,141519585.0,,,,,,,,,,,0.0,,,,,,,3731131265.0,347622004.0,,,5390702856,,,0.0,,0.0,,2917990840.0,,1892651888.0,159292238.0,,,,,,,,0.0,,,,,,10276427680.0,,,,,,260344554.0,1307103982.0,,,,,2486625819.0,,,,,2478147772.0,22941246.0,113047833.0,,0.0,,,,,,385031855.0,,381741597.0,92965164.0,,968720833.0,778637413.0,12349342382.0,,0.0,,42791162.0,0.0,,2968552034.0,155819585.0,181344283.0,14300000.0,,-20422374.0,,2653994588.0,145209425.0,,,,102930447,600000,,,,0.0,,,,,,,,,225551209.0,,,,,,,,1364182795.0,,,655383714.0,,,1853828553.0,,1400704380.0,1054849280.0,42978389188,25900736976,15959718024,22477877823.0,42978389188,20500511365.0,17077652212.0,4540793341,3848401000.0,106047207.0,21699240410.0,,7931834233,,,279576000.0,15242875790.0,,162752127.0,,30.0121195522,-6.5632756878,,,,,,,,,,,,,,,,,,14.0734541522,10.2493356399,,,8.6910200067,,,,,,,,12.5275928608,26.9707093132,-5.7464374914,,,,,,,,,,,,,,,2.6975998595,,,,,10.9191145645,0.0,,,,,-0.9462674988,,,,,7.3084797482,-33.131278731,179.7677697392,,,,,,,,1.3471141546,,21.9848821886,173.614104989,,4.9757325264,12.7783458275,-21.1301680034,,,,70.0528898212,,,27.6655048452,-27.7811754519,-0.0591656267,-77.7604976672,,59.5882997388,,924.5219789384,38984.277404994,,,,-10.0260438201,0.0,,,,,,,,,,,,,-14.6975941919,,,,,,,,0.977066477,,,-3.0872774785,,,38.7911572229,,0.0,70.2777511846,16.3852640054,25.3499778259,25.9953143656,11.1529007383,16.3852640054,22.7193006401,4.9966335674,12.4434245409,41.2248151792,11.2914376063,11.0954449787,326.2176385372,,,,,14.3897283396,,126.5170599146,,,0
9,600600.SH,600600,青岛啤酒,10002658,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-03-29 00:00:00,2022-03-29 00:00:00,CNY,,2566484737.0,119506428.0,,,,,,,,,,,0.0,,,,,,,3675291623.0,339805369.0,,,6567320256,,,0.0,,0.0,,2899626024.0,,1718307625.0,167564536.0,,,,,,,,0.0,,,,,,10302628630.0,,,,,,260344554.0,1307103982.0,,,,,2503842988.0,,,,,3281033526.0,27183434.0,115839869.0,,0.0,,,,,,374333837.0,,462046060.0,86258334.0,,991111582.0,746091651.0,18466880608.0,,0.0,,42089297.0,0.0,,2715976329.0,125155008.0,149491592.0,5648580.0,,-19851339.0,,552409778.0,296065856.0,,,,57672911,600000,,,,0.0,,,,,,,,,239884336.0,,,,,,,,1364182795.0,,,703273054.0,,,1906199446.0,,1400704380.0,548026847.0,41514185835,24628119678,15509945598,21368052166.0,41514185835,20146133669.0,16886066157.0,4636188071,2730994513.0,73893587.0,20621960515.0,,1888862835,,,279576000.0,14220864502.0,,168329047.0,,18.4251834713,-20.893042111,,,,,,,,,,,,,,,,,,6.7059488859,89.8419326627,,,9.9934834861,,,,,,,,15.0678610449,18.0938600611,-8.9498742308,,,,,,,,,,,,,,,0.788435661,,,,,10.9191145645,0.0,,,,,-2.1390626204,,,,,3.1197796764,-25.5343903557,209.1380884629,,,,,,,,-0.6127745215,,24.0126903331,144.6670959911,,6.4556898589,0.5801967722,20.682921394,,,,89.5229179542,,,13.7341852493,-44.6631626298,-32.30323861,-92.4785885486,,58.0732177256,,-2.1724898837,-3.0679636632,,,,-20.8365076516,0.0,,,,,,,,,,,,,104.7561795144,,,,,,,,0.977066477,,,159.5997932587,,,30.6810281214,,0.0,6.8157354714,11.2611468059,17.2666081544,16.1464727104,7.305048053,11.2611468059,15.7889474925,3.5283918274,14.6087151062,12.6249485536,-14.3455777316,7.5652463254,23.9579661705,,,,,11.2029291434,,151.3482957069,标准无保留意见,,0
